,website_path,course_title,location,holes,courses
89,https://foreupsoftware.com/index.php/booking/19651#/welcome,Lawrenceburg Golf & Country Club,"1901 West Gaines St. Lawrenceburg, TN 38464 USA ","9, 18","[{'course_id': '2074', 'course_name': 'Lawrenceburg Golf & Country Club'}]"
90,https://foreupsoftware.com/index.php/booking/19522#/welcome,Legacy Hills,"299 W Johnson Rd La Porte, IN 46350 USA ",,"[{'course_id': '1782', 'course_name': 'Legacy Hills'}]"
91,https://foreupsoftware.com/index.php/booking/19464#/welcome,Linville Falls Golf Club,"210 Blue Ridge Dr N Marion, NC 28752 USA ","9, 18","[{'course_id': '1685', 'course_name': 'Linville Falls Golf Club'}]"
92,https://foreupsoftware.com/index.php/booking/19035#/welcome,Logan River Golf Course,"550 West 1000 South Logan, UT 84321 USA ",,"[{'course_id': '799', 'course_name': 'Logan River'}]"
93,https://foreupsoftware.com/index.php/booking/19671#/welcome,Mangrove Bay,"875 62nd Ave. NE St. Petersburg, FL 33702 USA ","9, 18, Both","[{'course_id': '2149', 'course_name': 'Mangrove Bay'}]"
94,https://foreupsoftware.com/index.php/booking/19430#/welcome,Manitou Passage Golf Club,"4600 Club Drive Cedar, MI 49621 USA ",,"[{'course_id': '1608', 'course_name': 'Manitou Passage Golf Club'}]"
95,https://foreupsoftware.com/index.php/booking/19060#/welcome,Markdale Golf & Curling Club,"85 Edith Avenue Markdale, ON N0C1H0 CA ",18,"[{'course_id': '2767', 'course_name': 'New Tee Sheet'}, {'course_id': ' 851', 'course_name': ' Weekday Tee Sheet'}]"
96,https://foreupsoftware.com/index.php/booking/19179#/welcome,Mason Rudolph Golf Course,"1514 Golf Club Lane Clarksville, TN 37043 USA ",,"[{'course_id': '2479', 'course_name': 'Mason Rudolph'}]"
97,https://foreupsoftware.com/index.php/booking/19375#/welcome,Massanutten Resort,"1822 Resort Drive McGaheysville, VA 22840 USA ",,"[{'course_id': '1541', 'course_name': 'Mountain Greens GC'}, {'course_id': ' 1542', 'course_name': ' Woodstone Meadows GC'}]"
98,https://foreupsoftware.com/index.php/booking/19103#/welcome,Menifee Lakes Country Club,"29875 Menifee Lakes Dr Menifee, CA 92584 USA ","9, 18, Both","[{'course_id': '968', 'course_name': 'Palms Course'}, {'course_id': ' 954', 'course_name': ' Lakes Course'}, {'course_id': ' 1676', 'course_name': ' Seven Hills Golf Course'}]"
99,https://foreupsoftware.com/index.php/booking/19531#/welcome,Meriwether National Golf Club,"5200 Rood Bridge Road Hillsboro, OR 97123 USA ","9, 18","[{'course_id': '1793', 'course_name': 'Meriwether National Golf Club'}]"
100,https://foreupsoftware.com/index.php/booking/19416#/welcome,Mount Vintage Golf Club,"375 Mount Vintage Plantation Drive North Augusta, SC 29860 USA ","9, 18","[{'course_id': '1944', 'course_name': '3rd Nine'}, {'course_id': ' 1916', 'course_name': ' Mount Vintage Golf Club'}]"
101,https://foreupsoftware.com/index.php/booking/19196#/welcome,Mt. Ogden Golf Course,"1787 Constitution Way Ogden, UT 84401 USA ",,"[{'course_id': '1259', 'course_name': 'Mt. Ogden'}]"
