Website Path,Course Title,Location,Courses Values,Courses,Holes
https://foreupsoftware.com/index.php/booking/19567#/welcome,Platteville Country Club,"6729 N Water St. P.O. Box 434 Platteville, WI 53818 USA ",1843,Platteville Country Club,
https://foreupsoftware.com/index.php/booking/19194#/welcome,Players Indoor Golf & Sports Bar - Kitchener *Old,"7-1373 Victoria St., N. Kitchener, N2B 3R6 CA ",2364,Players Indoor Golf and Sports Bar - Kitchener,
https://foreupsoftware.com/index.php/booking/19000#/welcome,Pleasant Valley Golf Course,"4390 Pleasant Valley Drive SE Iowa City, IA 52240 USA ",735,Championship,
https://foreupsoftware.com/index.php/booking/19504#/welcome,Princeton Golf Course,"301 Golf Course Rd Princeton, MN 55371 USA ",1767,Princeton Golf Course,
https://foreupsoftware.com/index.php/booking/19662#/welcome,Quail Crossing Golf Club,"5 Quail Crossing Drive Boonville, IN 47601 USA ",2128,Quail Crossing,
https://foreupsoftware.com/index.php/booking/19852#/welcome,Quailwood Greens Golf Course,"12200 AZ-69 Dewey, AZ 86327 USA ",2678,Quailwood Greens Golf Course,
https://foreupsoftware.com/index.php/booking/19365#/welcome,Rendezvous Meadows Golf Course,"55 Club House Rd Pinedale, WY 82941 USA ",1527,Rendevzous Meadows,"9, 18"
https://foreupsoftware.com/index.php/booking/19525#/welcome,Rich Valley Golf,"227 Rich Valley Road Mechanicsburg, PA 17050 USA ","8436, 1785","New Tee Sheet, Rich Valley Golf",
https://foreupsoftware.com/index.php/booking/19509#/welcome,River Valley Community Course,"P.O. Box 71 Monticello, MO 63457 USA ","1941, 1773","Disc Golf, River Valley Community Course","9, 18"
https://foreupsoftware.com/index.php/booking/19112#/welcome,Rivers Edge Golf Club at Burley,"131 East Highway 81 Burley, ID 83318 USA ","4991, 1099","Rivers Edge 2.0 Tee Sheet, Rivers Edge In Season","9, 18, Both"
